Date,Bus Route No.,From,To,Way,Time (mins),Main Station,Trips per Day,Bus Stops Covered,Frequency (mins),Distance Travelled (km),Tickets Sold,Revenue Generated (INR)
2022-01-20,127K,Hitech city,Image Garden Bus Stop,Round Trip,20,Hitech City,10,8.0,47.0,49.66,283.0,3364.52
2022-01-20,189M,Suraram,Nampally,One Way,19,Ameerpet,11,25.0,20.0,11.6,207.0,22081.473750000005
2022-01-20,218D,KPHB,Kondapur Bus Station,One Way,14,Ameerpet,5,5.0,10.0,22.4,320.0,10282.83
2022-01-20,83J/272G,Dilsukhnagar,Ameerpet,Round Trip,106,Ameerpet,9,9.0,5.0,24.08,341.0,5992.13
2022-01-20,219,Kukatpally,VV Nagar,One Way,72,Ameerpet,8,7.0,15.0,8.07,362.0,6393.8
2022-01-21,189R,Koti,L.B. Nagar Ring Road,One Way,68,Ameerpet,20,18.0,15.0,25.98,407.0,11462.59
2022-01-21,187JL,Koti,Afzalgunj,One Way,40,Ameerpet,15,20.0,5.0,41.25,411.0,9871.83
2022-01-21,287N,BHEL,Nampally,Round Trip,93,Ameerpet,18,16.0,10.0,38.56,102.0,5257.74
2022-01-21,225S,Uppal X Road,Bachupally,One Way,91,Ameerpet,6,17.0,15.0,17.63,317.0,13691.14
2022-01-21,283D,Gandimaisamma X Road,Ameerpet,Round Trip,62,Ameerpet,7,12.0,15.0,26.41,238.0,14622.63
2022-01-21,218C,Gandimaisamma X Road,Secunderabad Bus Station,Round Trip,76,Ameerpet,16,9.0,5.0,20.51,372.0,9651.99
2022-01-21,19/224,Chengicherla,Afzalgunj,Round Trip,73,Ameerpet,20,19.0,15.0,6.34,212.0,4839.98
2022-01-21,230X,Gandimaisamma X Road,L.B. Nagar Ring Road,Round Trip,95,Ameerpet,9,24.0,5.0,45.71,367.0,14229.48
2022-01-21,272C,Allwyn Colony,Hayathnagar,One Way,109,Ameerpet,17,14.0,15.0,15.51,266.0,8054.4
2022-01-21,10H/25S,Suraram,VV Nagar,Round Trip,54,Ameerpet,5,28.0,15.0,20.03,236.0,2804.63
2022-01-22,299P,Madhapur Petrol Pump,Abdullapurmet,One Way,116,Koti,2,43.5,35.0,41.85,78.0,2790.89
2022-01-22,19K,Borabanda,Hayathnagar,Round Trip,78,Ameerpet,13,17.0,10.0,33.33,424.0,9291.14
2022-01-22,183,Jagadgirigutta,VV Nagar,One Way,29,Ameerpet,20,19.0,10.0,33.93,225.0,10876.81
2022-01-22,90 U,KPHB,Gandimaisamma,One Way,111,Ameerpet,19,15.0,10.0,6.03,424.0,4923.68
2022-01-23,218HG,Koti,Afzalgunj,One Way,112,Ameerpet,12,23.0,30.0,12.76,120.0,4693.54
2022-01-23,9K/283K,Aramghar,Bowrampet,Round Trip,95,Ameerpet,5,28.0,5.0,43.92,219.0,6574.66
2022-01-23,219,Gandimaisamma X Road,Nampally,Round Trip,29,Ameerpet,13,15.0,5.0,37.49,308.0,9816.34
2022-01-23,83K,MGBS,Shamshiguda,Round Trip,62,Ameerpet,18,17.0,10.0,16.67,111.0,8724.47
2022-01-23,225A,Jeedimetla,Lingampally,One Way,51,Ameerpet,16,26.0,5.0,19.72,366.0,6409.61
2022-01-23,225M,Gandimaisamma X Road,Bachupally,One Way,100,Ameerpet,6,19.0,15.0,23.7,354.0,14683.39
2022-01-23,113C,Aramghar,Kondapur Bus Station,One Way,47,Ameerpet,19,14.0,20.0,48.18,174.0,3223.65
2022-01-23,225M,Charminar,Suraram,Round Trip,88,Ameerpet,19,18.0,20.0,5.07,345.0,5696.98
2022-01-23,225L/299,Dilsukhnagar,VV Nagar,One Way,99,Ameerpet,19,24.0,30.0,6.41,425.0,10790.03
2022-01-23,113F,Gandimaisamma X Road,Bachupally,Round Trip,62,Ameerpet,11,27.0,5.0,34.82,150.0,4580.794442
2022-01-23,225L/299,Central Bus Station,Balanagar X Road,One Way,77,Ameerpet,5,27.0,30.0,28.4,436.0,2885.58
2022-01-23,289M,MGBS,Ameerpet,Round Trip,108,Ameerpet,15,20.0,30.0,43.68,441.0,5383.219942
2022-01-23,289M,Jagadgirigutta,Bowrampet,One Way,71,Ameerpet,5,25.0,20.0,34.19,176.0,5722.68
2022-01-24,222A,ESI hospital,Safilguda,Round Trip,89,Hitech City,1,17.0,26.0,33.76,155.0,3954.39
2022-01-24,218HG,Suraram,Gandimaisamma,Round Trip,11,Ameerpet,14,23.0,30.0,40.04,213.0,6931.044932
2022-01-24,189 MJ,Jagadgirigutta,Afzalgunj,Round Trip,101,Ameerpet,6,9.0,15.0,20.42,166.0,10913.92
2022-01-24,225L,Koti,Hayathnagar,Round Trip,106,Ameerpet,16,15.0,5.0,35.9,208.0,13353.36
2022-01-24,9 YF,Boduppal,Bowrampet,Round Trip,93,Ameerpet,17,6.0,15.0,30.84,123.0,3185.48
2022-01-25,10H/25S,Gandimaisamma X Road,Nampally,Round Trip,69,Ameerpet,10,23.0,30.0,15.84,302.0,5448.9
2022-01-25,225,Sanath Nagar,Bowrampet,One Way,83,Ameerpet,19,19.0,5.0,18.12,224.0,10357.79
2022-01-25,218L/V,Jagadgirigutta,Secunderabad Bus Station,One Way,39,Ameerpet,11,11.0,5.0,13.09,336.0,11156.33
2022-01-25,19/224,Aramghar,Film Nagar,Round Trip,41,Ameerpet,19,11.0,5.0,29.64,136.0,13274.0
2022-01-26,225A,Charminar,Patancheru Bus Station,One Way,59,Ameerpet,6,15.0,30.0,43.87,227.0,6536.27
2022-01-26,102B/218L,Uppal X Road,Kachiguda,One Way,23,Ameerpet,20,25.0,15.0,28.62,489.0,5517.35
2022-01-27,90 U,Borabanda,Secunderabad Bus Station,One Way,22,Ameerpet,16,17.0,20.0,17.47,215.0,3085.63
2022-01-27,218,Jagadgirigutta,L.B. Nagar Ring Road,One Way,89,Ameerpet,13,12.0,30.0,47.34,440.0,6947.42
2022-01-27,19Y/F,MGBS,Ameerpet,Round Trip,41,Ameerpet,14,24.0,15.0,47.88,403.0,3590.88
2022-01-28,86V,Koti Women's College,Chandrayangutta X Road,One Way,18,Koti,17,37.0,26.0,9.31,114.0,1205.95
2022-01-28,9M,Borabanda,Gandimaisamma,One Way,112,Ameerpet,17,14.0,20.0,21.61,211.0,10012.31
2022-01-28,218HG,Chandrayan Gutta X Road,Secunderabad Bus Station,Round Trip,57,Ameerpet,7,25.0,15.0,45.73,250.0,12109.77
2022-01-28,189 MJ,Allwyn Colony,Shamshiguda,Round Trip,113,Ameerpet,15,9.0,30.0,20.71,399.0,7638.84
2022-01-28,272C,Sanath Nagar,Nampally,Round Trip,93,Ameerpet,10,17.0,15.0,14.27,160.0,11935.27
2022-01-28,218L,Allwyn Colony,Nampally,One Way,62,Ameerpet,20,16.0,5.0,10.28,414.0,2781.74
2022-01-28,113F,Gandimaisamma X Road,Afzalgunj,One Way,73,Ameerpet,9,14.0,20.0,26.42,170.0,10954.88
2022-01-29,156S,Secunderabad (Medchal),Anajpur,One Way,38,Koti,2,26.0,24.0,37.07,196.0,4659.25
2022-01-29,113EL,Koti,Bachupally,One Way,45,Ameerpet,19,21.0,15.0,8.04,484.0,14898.45
2022-01-29,83K,Dilsukhnagar,Suraram,Round Trip,111,Ameerpet,15,12.0,20.0,36.14,325.0,2656.772366
2022-01-29,225L,Dilsukhnagar,Nampally,Round Trip,100,Ameerpet,5,18.0,30.0,46.96,418.0,8531.04
2022-01-29,223A,Suraram,Kachiguda,One Way,24,Ameerpet,12,19.0,5.0,43.79,142.0,22081.473750000005
2022-01-29,19K,Chandrayan Gutta X Road,Gandimaisamma,One Way,66,Ameerpet,16,29.0,10.0,30.86,499.0,7870.21
2022-01-29,189M/92A,Uppal X Road,Hayathnagar,Round Trip,47,Ameerpet,14,15.0,5.0,40.4,103.0,14110.1
2022-01-29,113F,Uppal X Road,Lingampally,One Way,88,Ameerpet,8,21.0,5.0,20.06,249.0,5844.85
2022-01-29,9K/272G,Sanath Nagar,Ameerpet,One Way,108,Ameerpet,18,18.0,5.0,47.51,216.0,4384.44
2022-01-30,289M,Koti,L.B. Nagar Ring Road,Round Trip,107,Ameerpet,13,12.0,5.0,10.44,180.0,6969.94
2022-01-30,289M,MGBS,Bachupally,One Way,118,Ameerpet,9,23.0,20.0,16.28,213.0,22081.473750000005
2022-01-30,225A,KPHB,Suraram,One Way,44,Ameerpet,18,12.0,20.0,5.75,374.0,10379.34
2022-01-30,19Y/F,Sanath Nagar,Gajula Ramaram,Round Trip,117,Ameerpet,5,26.0,20.0,40.9,217.0,7742.18
2022-01-31,40T,TSRTC pushpak,Dilsukhnagar,Round Trip,90,Koti,19,22.0,34.0,65.83,79.0,3460.23
2022-01-31,105S,Secunderabad (Medchal),Vanasthalipuram(Saheb Nagar),One Way,17,Koti,16,43.5,41.0,50.18,225.0,4979.59
2022-01-31,38S/47V,Wipro,koti,Round Trip,102,Hitech City,5,18.0,51.0,23.61,474.0,3186.31
2022-01-31,289M,L.B. Nagar,Lingampally,Round Trip,114,Ameerpet,16,20.0,5.0,25.58,314.0,3318.34
2022-02-01,201G,High Court Colony Deer Park,Ramoji Film City,Round Trip,97,Koti,6,28.0,31.0,75.035,114.0,1382.8
2022-02-01,19/224,BHEL,Balanagar X Road,Round Trip,44,Ameerpet,17,8.0,30.0,18.91,364.0,6613.68
2022-02-01,9M,Dilsukhnagar,Shamshiguda,Round Trip,27,Ameerpet,20,25.0,20.0,24.8,198.0,12415.99
2022-02-01,225HP,Dilsukhnagar,Gajula Ramaram,One Way,59,Ameerpet,16,13.0,10.0,49.84,356.0,4388.59
2022-02-01,185S,Dilsukhnagar,Lingampally,Round Trip,11,Ameerpet,14,21.0,20.0,36.93,375.0,13016.56
2022-02-01,19M,Central Bus Station,Secunderabad Bus Station,One Way,45,Ameerpet,15,18.0,30.0,16.05,426.0,11164.92
2022-02-02,156S,Secunderabad (Medchal),Koti Bus Terminal,One Way,72,Koti,5,41.0,15.0,49.97,96.0,4807.35
2022-02-02,209,Suchitra X Road,Koti Bus Terminal,Round Trip,24,Koti,4,28.0,29.0,75.035,287.0,3761.98
2022-02-02,209,Suchitra X Road,Ramoji Film City,One Way,46,Koti,1,26.0,48.0,66.64,56.0,4989.59
2022-02-02,287N,MGBS,Gajula Ramaram,Round Trip,86,Ameerpet,16,23.0,20.0,45.59,219.0,10332.22
2022-02-02,113F,Charminar,Lingampally,One Way,113,Ameerpet,7,20.0,5.0,38.29,389.0,11469.3
2022-02-02,183AJ,Charminar,Afzalgunj,One Way,101,Ameerpet,16,10.0,5.0,48.28,165.0,11755.67
2022-02-03,86V,Suchitra X Road,Koti Bus Terminal,One Way,94,Koti,5,23.0,22.0,53.4,269.0,2135.66
2022-02-03,189M/A,Suraram,Kondapur Bus Station,One Way,43,Ameerpet,18,30.0,30.0,16.66,279.0,14353.35
2022-02-03,218HG,Kukatpally,Gajula Ramaram,One Way,17,Ameerpet,16,29.0,10.0,32.57,311.0,13050.38
2022-02-03,225HP,Gandimaisamma X Road,VV Nagar,One Way,93,Ameerpet,12,7.0,30.0,46.71,187.0,7213.29
2022-02-03,189M/A,Kukatpally,Afzalgunj,Round Trip,24,Ameerpet,15,30.0,30.0,12.03,491.0,11803.52
2022-02-03,9M,Borabanda,Patancheru Bus Station,One Way,91,Ameerpet,13,28.0,20.0,8.81,357.0,11601.12
2022-02-03,183AJ,Jagadgirigutta,Film Nagar,One Way,54,Ameerpet,8,27.0,20.0,19.5,151.0,11690.44
2022-02-03,19K,Dilsukhnagar,Film Nagar,Round Trip,61,Ameerpet,12,30.0,30.0,8.12,452.0,9025.52
2022-02-03,218D,Jagadgirigutta,Balanagar X Road,Round Trip,64,Ameerpet,7,20.0,30.0,20.61,383.0,3287.9
2022-02-03,272C,L.B. Nagar,Gandimaisamma,One Way,43,Ameerpet,13,5.0,10.0,18.34,489.0,9786.23
2022-02-04,40V,Suchitra X Road,Madannapet,Round Trip,17,Koti,18,43.5,45.0,75.035,478.0,4148.49
2022-02-04,227W,TSRTC pushpak,Kavadi Pally,Round Trip,11,Koti,3,40.0,43.0,14.1,249.0,959.02
2022-02-04,201G,Nagole Ring Road,Musheerabad,Round Trip,28,Koti,6,22.0,25.0,53.64,256.0,4315.48
2022-02-05,1P/25S,Secunderabad (Medchal),Chandrayangutta X Road,Round Trip,29,Koti,12,18.0,27.0,25.74,127.0,1580.29
2022-02-05,127,TSRTC pushpak,Sanghi Nagar,Round Trip,66,Koti,9,43.5,23.0,40.68,254.0,4334.33
2022-02-05,201G,Hayathnagar,Brahmanpally,Round Trip,44,Koti,5,38.0,47.0,75.035,439.0,4407.12
2022-02-05,19M/224,Dilsukhnagar,Nampally,One Way,54,Ameerpet,14,19.0,10.0,15.42,367.0,14106.82
2022-02-05,283A,Central Bus Station,Bowrampet,One Way,113,Ameerpet,8,17.0,10.0,37.93,169.0,5878.39
2022-02-05,102B/218L,Dilsukhnagar,Secunderabad Bus Station,One Way,52,Ameerpet,14,8.0,20.0,25.02,425.0,13461.47
2022-02-05,225S,Allwyn Colony,Suraram,Round Trip,74,Ameerpet,16,6.0,20.0,11.75,352.0,4644.34
2022-02-05,189M/92A,Chandrayan Gutta X Road,Bowrampet,Round Trip,12,Ameerpet,9,6.0,15.0,37.12,178.0,2747.75
2022-02-06,1P/25S,Koti Osmania Hospital,Kavadi Pally,One Way,61,Koti,8,6.0,20.0,75.035,121.0,4208.54
2022-02-06,189M/92A,Suraram,Patancheru Bus Station,Round Trip,15,Ameerpet,11,13.0,5.0,37.87,226.0,10927.86
2022-02-06,102B/218L,L.B. Nagar,Gajula Ramaram,Round Trip,99,Ameerpet,18,7.0,15.0,45.84,157.0,10322.2
2022-02-06,90 D,Chengicherla,Film Nagar,Round Trip,17,Ameerpet,12,28.0,5.0,29.88,291.0,13969.43
2022-02-06,90 D,NGO Colony,Ameerpet,One Way,70,Ameerpet,7,25.0,10.0,49.96,434.0,11128.22
2022-02-07,225S,NGO Colony,Gandimaisamma,Round Trip,13,Ameerpet,12,28.0,5.0,29.23,178.0,4066.64
2022-02-07,9D,Dilsukhnagar,Patancheru Bus Station,One Way,18,Ameerpet,16,23.0,20.0,26.36,201.0,3794.57
2022-02-07,19/224,Suraram,VV Nagar,One Way,96,Ameerpet,19,7.0,10.0,46.08,100.0,3103.59
2022-02-07,19/224,Koti,Gajula Ramaram,Round Trip,35,Ameerpet,6,24.0,5.0,48.45,349.0,4127.01
2022-02-07,9M-1,Kukatpally,Lingampally,One Way,42,Ameerpet,17,14.0,5.0,10.37,487.0,8858.12
2022-02-07,225HP,Jeedimetla,Suraram,One Way,106,Ameerpet,12,15.0,5.0,9.24,191.0,6174.22
2022-02-07,187J,NGO Colony,Kachiguda,Round Trip,92,Ameerpet,6,15.0,20.0,16.72,495.0,8711.43
2022-02-08,187J,Charminar,Balanagar X Road,One Way,113,Ameerpet,8,14.0,30.0,32.04,466.0,7598.31
2022-02-08,83K,BHEL,VV Nagar,One Way,95,Ameerpet,19,19.0,20.0,29.9,475.0,11469.83
2022-02-08,223A,MGBS,Afzalgunj,Round Trip,18,Ameerpet,14,9.0,15.0,14.08,440.0,10201.23
2022-02-09,207,Nagole Ring Road,Ramoji Film City,One Way,80,Koti,1,41.0,26.0,71.48,103.0,3730.13
2022-02-09,113KY,Hitech city,Patancheru Busterminal,Round Trip,108,Hitech City,6,16.0,21.0,30.68,176.0,2856.38
2022-02-09,127K/V,Kondapur bus depot,Image Garden Bus Stop,Round Trip,89,Hitech City,8,22.0,55.0,47.18,463.0,2737.61
2022-02-09,9K,Mehdipatnam,Gajula Ramaram,Round Trip,63,Ameerpet,15,28.0,30.0,24.18,204.0,9573.75
2022-02-09,83J/230,Aramghar,Secunderabad Bus Station,Round Trip,110,Ameerpet,8,19.0,10.0,9.14,240.0,11308.84
2022-02-09,218D,Borabanda,Bowrampet,Round Trip,35,Ameerpet,6,25.0,30.0,17.46,275.0,2170.15
2022-02-09,218L,BHEL,Bachupally,Round Trip,92,Ameerpet,15,12.0,20.0,11.1,341.0,3221.159661
2022-02-10,127,Madhapur Petrol Pump,Kavadi Pally,One Way,52,Koti,12,9.0,57.5,5.14,93.0,707.78
2022-02-10,195W,ESI hospital,JNTU,Round Trip,76,Hitech City,6,4.0,38.0,10.46,201.0,1368.27
2022-02-10,223A,Aramghar,Bowrampet,Round Trip,49,Ameerpet,20,22.0,5.0,11.41,394.0,7621.206483
2022-02-10,19/224,L.B. Nagar,VV Nagar,One Way,26,Ameerpet,5,24.0,10.0,45.97,410.0,9942.45
2022-02-10,283D,Jagadgirigutta,Nampally,Round Trip,20,Ameerpet,6,10.0,5.0,19.32,119.0,11701.82
2022-02-10,219,KPHB,Suraram,One Way,104,Ameerpet,11,7.0,30.0,22.55,227.0,7279.66
2022-02-10,218/19M,Boduppal,Afzalgunj,One Way,85,Ameerpet,18,30.0,30.0,18.35,254.0,7756.62
2022-02-10,19K,Suraram,ESI,Round Trip,81,Ameerpet,20,7.0,5.0,5.31,284.0,12354.96
2022-02-11,127HJ,Hayathnagar Depot,Image Garden Bus Stop,Round Trip,82,Hitech City,4,8.0,30.0,37.98,339.0,1797.08
2022-02-11,225L,Suraram,Bowrampet,Round Trip,26,Ameerpet,10,25.0,5.0,9.31,265.0,12645.05
2022-02-12,9X,Mehdipatnam,Nampally,Round Trip,49,Ameerpet,6,22.0,10.0,10.75,484.0,8447.13
2022-02-13,201G,Mehdipatnam,Madannapet,Round Trip,41,Koti,13,15.0,38.0,33.21,233.0,932.82
2022-02-13,127KV,HCU Bus Depot,JNTU,One Way,68,Hitech City,2,17.0,57.0,21.49,499.0,2211.66
2022-02-13,189M/A,Boduppal,Lingampally,One Way,84,Ameerpet,17,8.0,5.0,15.94,303.0,3203.79
2022-02-13,225S,Jagadgirigutta,Hayathnagar,One Way,26,Ameerpet,11,19.0,20.0,33.77,396.0,5823.29
2022-02-13,9K/283K,L.B. Nagar,Shamshiguda,One Way,107,Ameerpet,9,15.0,10.0,19.71,122.0,14821.91
2022-02-14,9X,Jagadgirigutta,Ameerpet,One Way,88,Ameerpet,19,13.0,30.0,18.88,149.0,4959.59
2022-02-14,9X/171M,Suraram,L.B. Nagar Ring Road,One Way,108,Ameerpet,12,17.0,30.0,10.4,376.0,13416.95
2022-02-14,225A,Charminar,Kachiguda,Round Trip,75,Ameerpet,19,14.0,10.0,33.89,334.0,11838.55518
2022-02-14,185S,Chandrayan Gutta X Road,Afzalgunj,Round Trip,47,Ameerpet,12,19.0,30.0,10.94,461.0,6085.75
2022-02-14,83J/230,BHEL,Kachiguda,One Way,57,Ameerpet,6,25.0,30.0,45.63,103.0,10521.75
2022-02-14,185,Jagadgirigutta,Afzalgunj,Round Trip,116,Ameerpet,8,17.0,5.0,9.51,366.0,2314.26
2022-02-14,9K/283K,Borabanda,Shamshiguda,Round Trip,30,Ameerpet,8,20.0,20.0,34.97,276.0,3665.13
2022-02-15,205B,Koti Osmania Hospital,Sanghi Nagar,One Way,59,Koti,16,30.0,54.0,22.25,477.0,1432.32
2022-02-15,19/224,Allwyn Colony,Nampally,Round Trip,92,Ameerpet,10,17.0,30.0,32.89,429.0,2442.59
2022-02-15,9X/283D,Jagadgirigutta,VV Nagar,One Way,11,Ameerpet,14,30.0,10.0,18.44,464.0,8079.48
2022-02-16,40T,Hayathnagar,Vanasthalipuram(Saheb Nagar),One Way,36,Koti,2,8.0,30.0,55.45,224.0,1600.28
2022-02-16,205B,Madhapur Petrol Pump,Abdullapurmet,One Way,34,Koti,2,6.0,40.0,75.035,156.0,3732.8
2022-02-16,299P,Nagole Ring Road,Ramoji Film City,One Way,80,Koti,17,27.0,17.0,73.59,326.0,2215.68
2022-02-16,227W,High Court Colony Deer Park,Saroor Nagar Bus Terminal,One Way,66,Koti,1,31.0,55.0,75.035,482.0,2516.9
2022-02-16,218/19M,KPHB,Kondapur Bus Station,Round Trip,61,Ameerpet,9,18.0,10.0,14.27,173.0,4749.42
2022-02-16,9K/283K,Borabanda,Balanagar X Road,One Way,110,Ameerpet,20,21.0,5.0,11.07,160.0,5830.39
2022-02-16,41,Suraram,Ameerpet,One Way,15,Ameerpet,13,24.0,10.0,40.33,262.0,4236.6
2022-02-16,9M,Jagadgirigutta,Lingampally,Round Trip,113,Ameerpet,15,26.0,5.0,21.8,258.0,9127.77
2022-02-16,218/19M,Kukatpally,Patancheru Bus Station,Round Trip,53,Ameerpet,7,25.0,10.0,15.89,474.0,11623.87
2022-02-16,287N,Mehdipatnam,Gajula Ramaram,Round Trip,112,Ameerpet,17,9.0,30.0,36.88,341.0,6897.35
2022-02-16,9 YF,MGBS,Suraram,One Way,29,Ameerpet,13,22.0,10.0,31.17,306.0,8298.94
2022-02-16,10H/25S,Suraram,Afzalgunj,One Way,89,Ameerpet,15,28.0,20.0,42.77,325.0,6439.7
2022-02-16,225L/299,KPHB,ESI,One Way,119,Ameerpet,12,28.0,5.0,10.67,119.0,6053.3
2022-02-16,283D,MGBS,Suraram,Round Trip,21,Ameerpet,6,11.0,20.0,10.56,206.0,4774.81
