Date,Bus Route No.,From,To,Trips per Day,Way,Bus Stops Covered,Frequency (mins),Distance Travelled (km),Time (mins),Main Station,Tickets Sold,Revenue Generated (INR)
14-01-2022,216D/L,Secunderabad (Medchal),Anajpur,18,One Way,40,22,67.96,87,Koti,120,2265.15
14-01-2022,205B,Mehdipatnam,Marripally,19,Round Trip,41,56,95.61,112,Koti,105,4140.04
14-01-2022,127VB,Rythu Bazar Erragadda,Safilguda,15,Round-trip,23,35,44.07,100,Hitech City,392,3012.34
15-01-2022,298,Suchitra X Road,Greenland Colony,8,One Way,29,49,53.36,30,Koti,425,2572.29
15-01-2022,127VB,Rythu Bazar Erragadda,koti,1,One-way,8,37,22.49,74,Hitech City,176,1986.41
15-01-2022,19M/224,KPHB,Nampally,9,Round Trip,23,30,45.15,29,Ameerpet,459,9286.03
15-01-2022,19F/A,Koti,Kondapur Bus Station,11,Round Trip,16,10,45.9,66,Ameerpet,388,3271.75
15-01-2022,272C,Sanath Nagar,Secunderabad Bus Station,19,One Way,25,20,24.75,110,Ameerpet,265,12844.66
15-01-2022,41,Jeedimetla,Lingampally,15,Round Trip,29,10,27.95,114,Ameerpet,434,8073.62
15-01-2022,9D,BHEL,Balanagar X Road,6,Round Trip,14,15,49.91,114,Ameerpet,483,3670.15
16-01-2022,201M,Secunderabad (Medchal),Marripally,11,One Way,18,11,24.96,46,Koti,492,4410.22
16-01-2022,206,Suchitra X Road,Musheerabad,10,One Way,8,21,52.56,67,Koti,236,1042.4
16-01-2022,189M/92A,Gandimaisamma X Road,Afzalgunj,15,Round Trip,25,20,39.38,75,Ameerpet,378,11670.27
16-01-2022,9X/272G,Aramghar,VV Nagar,7,Round Trip,16,20,42.19,49,Ameerpet,341,9528.34
16-01-2022,19M/224,Borabanda,Afzalgunj,15,Round Trip,12,20,30.09,57,Ameerpet,448,8084.16
16-01-2022,189M,NGO Colony,Gajula Ramaram,13,Round Trip,15,5,46.21,77,Ameerpet,289,5888.4
16-01-2022,224H,Charminar,Lingampally,19,Round Trip,5,15,7.83,87,Ameerpet,452,12479.66
17-01-2022,201G,TSRTC pushpak,Koti Bus Terminal,18,One Way,31,46,58.67,,Koti,422,2812.3
17-01-2022,38S/47V,HCU Bus Depot,Image Garden Bus Stop,2,Round-trip,11,22,29.3,46,Hitech City,343,2434.31
17-01-2022,19M/224,Charminar,Kondapur Bus Station,17,One Way,5,15,28.39,15,Ameerpet,264,12343.58
17-01-2022,225HP,Mehdipatnam,Gandimaisamma,8,One Way,16,15,36.74,92,Ameerpet,298,14457.24
17-01-2022,225A,Central Bus Station,Film Nagar,10,One Way,19,15,42.94,77,Ameerpet,419,3436.3
17-01-2022,113EL,L.B. Nagar,Afzalgunj,15,One Way,13,10,25,76,Ameerpet,224,10943.92
18-01-2022,1P/25S,TSRTC pushpak,Kothagudem,12,One Way,8,33,94.5,88,Koti,290,4246.84
18-01-2022,9K/283K,Charminar,Shamshiguda,6,Round Trip,15,20,8.59,112,Ameerpet,291,13766.15
19-01-2022,218L/V,Borabanda,Afzalgunj,16,One Way,19,15,40.38,69,Ameerpet,281,11278.96
19-01-2022,189R,Suraram,Bachupally,8,Round Trip,7,20,28.5,13,Ameerpet,456,4888.19
19-01-2022,189 MJ,Aramghar,Kachiguda,18,Round Trip,6,15,35.64,17,Ameerpet,158,7925.84
19-01-2022,225L/299,Jagadgirigutta,Nampally,15,One Way,16,20,43.82,77,Ameerpet,167,8993.16
19-01-2022,189M/A,L.B. Nagar,Shamshiguda,19,One Way,17,5,42.21,86,Ameerpet,200,15081.79178
19-01-2022,187JL,MGBS,Bachupally,8,One Way,30,30,9.13,60,Ameerpet,164,4968.41
19-01-2022,218/19M,BHEL,Gandimaisamma,5,One Way,25,15,16.17,45,Ameerpet,343,3302.69
19-01-2022,230N,Suraram,Balanagar X Road,13,One Way,26,5,29.34,61,Ameerpet,353,5162.27
20-01-2022,16A/47LI,VBIT,Infotech,6,One-way,22,43,10.78,112,Hitech City,470,1474.01
20-01-2022,127K,Hitech city,Image Garden Bus Stop,10,Round-trip,8,47,49.66,20,Hitech City,283,3364.52
20-01-2022,189M,Suraram,Nampally,11,One Way,25,20,11.6,19,Ameerpet,207,106277.2
20-01-2022,218D,KPHB,Kondapur Bus Station,5,One Way,5,10,22.4,14,Ameerpet,320,10282.83
20-01-2022,83J/272G,Dilsukhnagar,Ameerpet,9,Round Trip,9,5,24.08,106,Ameerpet,341,5992.13
20-01-2022,219,Kukatpally,VV Nagar,8,One Way,7,15,8.07,72,Ameerpet,362,6393.8
21-01-2022,189R,Koti,L.B. Nagar Ring Road,20,One Way,18,15,25.98,68,Ameerpet,407,11462.59
21-01-2022,187JL,Koti,Afzalgunj,15,One Way,20,5,41.25,40,Ameerpet,411,9871.83
21-01-2022,287N,BHEL,Nampally,18,Round Trip,16,10,38.56,93,Ameerpet,102,5257.74
21-01-2022,225S,Uppal X Road,Bachupally,6,One Way,17,15,17.63,91,Ameerpet,317,13691.14
21-01-2022,283D,Gandimaisamma X Road,Ameerpet,7,Round Trip,12,15,26.41,62,Ameerpet,238,14622.63
21-01-2022,218C,Gandimaisamma X Road,Secunderabad Bus Station,16,Round Trip,9,5,20.51,76,Ameerpet,372,9651.99
21-01-2022,19/224,Chengicherla,Afzalgunj,20,Round Trip,19,,6.34,73,Ameerpet,212,4839.98
21-01-2022,230X,Gandimaisamma X Road,L.B. Nagar Ring Road,9,Round Trip,24,5,45.71,95,Ameerpet,367,14229.48
21-01-2022,272C,Allwyn Colony,Hayathnagar,17,One Way,14,15,15.51,109,Ameerpet,266,8054.4
21-01-2022,10H/25S,Suraram,VV Nagar,5,Round Trip,28,15,20.03,54,Ameerpet,236,2804.63
22-01-2022,299P,Madhapur Petrol Pump,Abdullapurmet,2,One Way,47,35,41.85,116,Koti,78,2790.89
22-01-2022,19K,Borabanda,Hayathnagar,13,Round Trip,17,10,33.33,78,Ameerpet,424,9291.14
22-01-2022,183,Jagadgirigutta,VV Nagar,20,One Way,19,10,33.93,29,Ameerpet,225,10876.81
22-01-2022,90 U,KPHB,Gandimaisamma,19,One Way,15,10,6.03,111,Ameerpet,424,4923.68
23-01-2022,218HG,Koti,Afzalgunj,12,One Way,23,30,12.76,112,Ameerpet,120,4693.54
23-01-2022,9K/283K,Aramghar,Bowrampet,5,Round Trip,28,5,43.92,95,Ameerpet,219,6574.66
23-01-2022,219,Gandimaisamma X Road,Nampally,13,Round Trip,15,5,37.49,29,Ameerpet,308,9816.34
23-01-2022,83K,MGBS,Shamshiguda,18,Round Trip,17,10,16.67,62,Ameerpet,111,8724.47
23-01-2022,225A,Jeedimetla,Lingampally,16,One Way,26,5,19.72,51,Ameerpet,366,6409.61
23-01-2022,225M,Gandimaisamma X Road,Bachupally,6,One Way,19,15,23.7,100,Ameerpet,354,14683.39
23-01-2022,113C,Aramghar,Kondapur Bus Station,19,One Way,14,20,48.18,47,Ameerpet,174,3223.65
23-01-2022,225M,Charminar,Suraram,19,Round Trip,18,20,5.07,88,Ameerpet,345,5696.98
23-01-2022,225L/299,Dilsukhnagar,VV Nagar,19,One Way,24,30,6.41,99,Ameerpet,425,10790.03
23-01-2022,113F,Gandimaisamma X Road,Bachupally,11,Round Trip,27,5,34.82,62,Ameerpet,150,4580.794442
23-01-2022,225L/299,Central Bus Station,Balanagar X Road,5,One Way,27,30,,77,Ameerpet,436,2885.58
23-01-2022,289M,MGBS,Ameerpet,15,Round Trip,20,30,43.68,108,Ameerpet,441,5383.219942
23-01-2022,289M,Jagadgirigutta,Bowrampet,5,One Way,25,20,34.19,71,Ameerpet,176,5722.68
24-01-2022,222A,ESI hospital,Safilguda,1,Round-trip,17,26,33.76,89,Hitech City,155,3954.39
24-01-2022,218HG,Suraram,Gandimaisamma,14,Round Trip,23,30,40.04,11,Ameerpet,213,6931.044932
24-01-2022,189 MJ,Jagadgirigutta,Afzalgunj,6,Round Trip,9,15,20.42,101,Ameerpet,166,10913.92
24-01-2022,225L,Koti,Hayathnagar,16,Round Trip,15,5,35.9,106,Ameerpet,208,13353.36
24-01-2022,9 YF,Boduppal,Bowrampet,17,Round Trip,6,,30.84,93,Ameerpet,123,3185.48
25-01-2022,10H/25S,Gandimaisamma X Road,Nampally,10,Round Trip,23,30,15.84,69,Ameerpet,302,5448.9
25-01-2022,225,Sanath Nagar,Bowrampet,19,One Way,19,5,18.12,83,Ameerpet,224,10357.79
25-01-2022,218L/V,Jagadgirigutta,Secunderabad Bus Station,11,One Way,11,5,13.09,39,Ameerpet,336,11156.33
25-01-2022,19/224,Aramghar,Film Nagar,19,Round Trip,11,5,29.64,41,Ameerpet,136,13274
26-01-2022,225A,Charminar,Patancheru Bus Station,6,One Way,15,30,43.87,59,Ameerpet,227,6536.27
26-01-2022,102B/218L,Uppal X Road,Kachiguda,20,One Way,25,15,28.62,23,Ameerpet,489,5517.35
27-01-2022,90 U,Borabanda,Secunderabad Bus Station,16,One Way,17,20,17.47,22,Ameerpet,215,3085.63
27-01-2022,218,Jagadgirigutta,L.B. Nagar Ring Road,13,One Way,12,30,47.34,89,Ameerpet,440,6947.42
27-01-2022,19Y/F,MGBS,Ameerpet,14,Round Trip,24,15,47.88,41,Ameerpet,403,3590.88
28-01-2022,86V,Koti Women's College,Chandrayangutta X Road,17,One Way,37,26,9.31,18,Koti,114,1205.95
28-01-2022,9M,Borabanda,Gandimaisamma,17,One Way,14,20,21.61,112,Ameerpet,211,10012.31
28-01-2022,218HG,Chandrayan Gutta X Road,Secunderabad Bus Station,7,Round Trip,25,15,45.73,57,Ameerpet,250,12109.77
28-01-2022,189 MJ,Allwyn Colony,Shamshiguda,15,Round Trip,9,30,20.71,113,Ameerpet,399,7638.84
28-01-2022,272C,Sanath Nagar,Nampally,10,Round Trip,17,15,14.27,93,Ameerpet,160,11935.27
28-01-2022,218L,Allwyn Colony,Nampally,20,One Way,16,5,10.28,62,Ameerpet,414,2781.74
28-01-2022,113F,Gandimaisamma X Road,Afzalgunj,9,One Way,14,20,26.42,73,Ameerpet,170,10954.88
29-01-2022,156S,Secunderabad (Medchal),Anajpur,2,One Way,26,24,37.07,38,Koti,196,4659.25
29-01-2022,113EL,Koti,Bachupally,19,One Way,21,15,8.04,45,Ameerpet,484,14898.45
29-01-2022,83K,Dilsukhnagar,Suraram,15,Round Trip,12,20,36.14,111,Ameerpet,325,2656.772366
29-01-2022,225L,Dilsukhnagar,Nampally,5,Round Trip,18,30,46.96,100,Ameerpet,418,8531.04
29-01-2022,223A,Suraram,Kachiguda,12,One Way,19,5,43.79,24,Ameerpet,142,82838.1
29-01-2022,19K,Chandrayan Gutta X Road,Gandimaisamma,16,One Way,29,10,30.86,66,Ameerpet,499,7870.21
29-01-2022,189M/92A,Uppal X Road,Hayathnagar,14,Round Trip,15,5,40.4,47,Ameerpet,103,14110.1
29-01-2022,113F,Uppal X Road,Lingampally,8,One Way,21,5,20.06,88,Ameerpet,249,5844.85
29-01-2022,9K/272G,Sanath Nagar,Ameerpet,18,One Way,18,5,47.51,108,Ameerpet,216,4384.44
30-01-2022,289M,Koti,L.B. Nagar Ring Road,13,Round Trip,12,5,10.44,107,Ameerpet,180,6969.94
30-01-2022,289M,MGBS,Bachupally,9,One Way,23,20,16.28,118,Ameerpet,213,39887
30-01-2022,225A,KPHB,Suraram,18,One Way,12,20,5.75,44,Ameerpet,374,10379.34
30-01-2022,19Y/F,Sanath Nagar,Gajula Ramaram,5,Round Trip,26,20,40.9,117,Ameerpet,217,7742.18
31-01-2022,40T,TSRTC pushpak,Dilsukhnagar,19,Round Trip,22,34,65.83,90,Koti,79,3460.23
31-01-2022,105S,Secunderabad (Medchal),Vanasthalipuram(Saheb Nagar),16,One Way,47,41,50.18,17,Koti,225,4979.59
31-01-2022,38S/47V,Wipro,koti,5,Round-trip,18,51,23.61,102,Hitech City,474,3186.31
31-01-2022,289M,L.B. Nagar,Lingampally,16,Round Trip,20,5,25.58,114,Ameerpet,314,3318.34
01-02-2022,201G,High Court Colony Deer Park,Ramoji Film City,6,Round Trip,28,31,80.74,97,Koti,114,1382.8
01-02-2022,19/224,BHEL,Balanagar X Road,17,Round Trip,8,30,18.91,44,Ameerpet,364,6613.68
01-02-2022,9M,Dilsukhnagar,Shamshiguda,20,Round Trip,25,20,24.8,27,Ameerpet,198,12415.99
01-02-2022,225HP,Dilsukhnagar,Gajula Ramaram,16,One Way,13,10,49.84,59,Ameerpet,356,4388.59
01-02-2022,185S,Dilsukhnagar,Lingampally,14,Round Trip,21,20,36.93,11,Ameerpet,375,13016.56
01-02-2022,19M,Central Bus Station,Secunderabad Bus Station,15,One Way,18,30,16.05,45,Ameerpet,426,11164.92
02-02-2022,156S,Secunderabad (Medchal),Koti Bus Terminal,5,One Way,41,15,49.97,72,Koti,96,4807.35
02-02-2022,209,Suchitra X Road,Koti Bus Terminal,4,Round Trip,28,29,98.94,24,Koti,287,3761.98
02-02-2022,209,Suchitra X Road,Ramoji Film City,1,One Way,26,48,66.64,46,Koti,56,4989.59
02-02-2022,287N,MGBS,Gajula Ramaram,16,Round Trip,23,20,45.59,86,Ameerpet,219,10332.22
02-02-2022,113F,Charminar,Lingampally,7,One Way,20,5,38.29,113,Ameerpet,389,11469.3
02-02-2022,183AJ,Charminar,Afzalgunj,16,One Way,10,5,48.28,101,Ameerpet,165,11755.67
03-02-2022,86V,Suchitra X Road,Koti Bus Terminal,5,One Way,23,22,53.4,94,Koti,269,2135.66
03-02-2022,189M/A,Suraram,Kondapur Bus Station,18,One Way,30,30,16.66,43,Ameerpet,279,14353.35
03-02-2022,218HG,Kukatpally,Gajula Ramaram,16,One Way,29,10,32.57,17,Ameerpet,311,13050.38
03-02-2022,225HP,Gandimaisamma X Road,VV Nagar,12,One Way,7,30,46.71,93,Ameerpet,187,7213.29
03-02-2022,189M/A,Kukatpally,Afzalgunj,15,Round Trip,30,30,12.03,24,Ameerpet,491,11803.52
03-02-2022,9M,Borabanda,Patancheru Bus Station,13,One Way,28,20,8.81,91,Ameerpet,357,11601.12
03-02-2022,183AJ,Jagadgirigutta,Film Nagar,8,One Way,27,20,19.5,54,Ameerpet,151,11690.44
03-02-2022,19K,Dilsukhnagar,Film Nagar,12,Round Trip,30,30,8.12,61,Ameerpet,452,9025.52
03-02-2022,218D,Jagadgirigutta,Balanagar X Road,7,Round Trip,20,30,20.61,64,Ameerpet,383,3287.9
03-02-2022,272C,L.B. Nagar,Gandimaisamma,13,One Way,5,10,18.34,43,Ameerpet,489,9786.23
04-02-2022,40V,Suchitra X Road,Madannapet,18,Round Trip,45,45,89.85,17,Koti,478,4148.49
04-02-2022,227W,TSRTC pushpak,Kavadi Pally,3,Round Trip,40,43,14.1,11,Koti,249,959.02
04-02-2022,201G,Nagole Ring Road,Musheerabad,6,Round Trip,22,25,53.64,28,Koti,256,4315.48
05-02-2022,1P/25S,Secunderabad (Medchal),Chandrayangutta X Road,12,Round Trip,18,27,25.74,29,Koti,127,1580.29
05-02-2022,127,TSRTC pushpak,Sanghi Nagar,9,Round Trip,47,23,40.68,,Koti,254,4334.33
05-02-2022,201G,Hayathnagar,Brahmanpally,5,Round Trip,38,47,96.1,44,Koti,439,4407.12
05-02-2022,19M/224,Dilsukhnagar,Nampally,14,One Way,19,10,15.42,54,Ameerpet,367,14106.82
05-02-2022,283A,Central Bus Station,Bowrampet,8,One Way,17,10,37.93,113,Ameerpet,169,5878.39
05-02-2022,102B/218L,Dilsukhnagar,Secunderabad Bus Station,14,One Way,8,20,25.02,52,Ameerpet,425,13461.47
05-02-2022,225S,Allwyn Colony,Suraram,16,Round Trip,6,20,11.75,74,Ameerpet,352,4644.34
05-02-2022,189M/92A,Chandrayan Gutta X Road,Bowrampet,9,Round Trip,6,15,37.12,12,Ameerpet,178,2747.75
06-02-2022,1P/25S,Koti Osmania Hospital,Kavadi Pally,8,One Way,6,20,82.47,61,Koti,121,4208.54
06-02-2022,189M/92A,Suraram,Patancheru Bus Station,11,Round Trip,13,5,37.87,15,Ameerpet,226,10927.86
06-02-2022,102B/218L,L.B. Nagar,Gajula Ramaram,18,Round Trip,7,15,45.84,99,Ameerpet,157,10322.2
06-02-2022,90 D,Chengicherla,Film Nagar,12,Round Trip,28,5,29.88,17,Ameerpet,291,13969.43
06-02-2022,90 D,NGO Colony,Ameerpet,7,One Way,25,10,49.96,70,Ameerpet,434,11128.22
07-02-2022,225S,NGO Colony,Gandimaisamma,12,Round Trip,28,5,29.23,13,Ameerpet,178,4066.64
07-02-2022,9D,Dilsukhnagar,Patancheru Bus Station,16,One Way,23,20,26.36,18,Ameerpet,201,3794.57
07-02-2022,19/224,Suraram,VV Nagar,19,One Way,7,10,46.08,96,Ameerpet,100,3103.59
07-02-2022,19/224,Koti,Gajula Ramaram,6,Round Trip,24,5,48.45,35,Ameerpet,349,4127.01
07-02-2022,9M-1,Kukatpally,Lingampally,17,One Way,14,5,10.37,42,Ameerpet,487,8858.12
07-02-2022,225HP,Jeedimetla,Suraram,12,One Way,15,5,9.24,106,Ameerpet,191,6174.22
07-02-2022,187J,NGO Colony,Kachiguda,6,Round Trip,15,20,16.72,92,Ameerpet,495,8711.43
08-02-2022,187J,Charminar,Balanagar X Road,8,One Way,14,30,32.04,113,Ameerpet,466,7598.31
08-02-2022,83K,BHEL,VV Nagar,19,One Way,19,20,29.9,95,Ameerpet,475,11469.83
08-02-2022,223A,MGBS,Afzalgunj,14,Round Trip,9,15,14.08,18,Ameerpet,440,10201.23
09-02-2022,207,Nagole Ring Road,Ramoji Film City,1,One Way,41,26,71.48,80,Koti,103,3730.13
09-02-2022,113KY,Hitech city,Patancheru Busterminal,6,Round-trip,16,21,30.68,108,Hitech City,176,2856.38
09-02-2022,127K/V,Kondapur bus depot,Image Garden Bus Stop,8,Round-trip,22,55,47.18,89,Hitech City,463,2737.61
09-02-2022,9K,Mehdipatnam,Gajula Ramaram,15,Round Trip,28,30,24.18,63,Ameerpet,204,9573.75
09-02-2022,83J/230,Aramghar,Secunderabad Bus Station,8,Round Trip,19,10,9.14,110,Ameerpet,240,11308.84
09-02-2022,218D,Borabanda,Bowrampet,6,Round Trip,25,30,17.46,35,Ameerpet,275,2170.15
09-02-2022,218L,BHEL,Bachupally,15,Round Trip,12,20,11.1,92,Ameerpet,341,3221.159661
10-02-2022,127,Madhapur Petrol Pump,Kavadi Pally,12,One Way,9,58,5.14,52,Koti,93,707.78
10-02-2022,195W,ESI hospital,JNTU,6,Round-trip,4,38,10.46,76,Hitech City,201,1368.27
10-02-2022,223A,Aramghar,Bowrampet,20,Round Trip,22,5,11.41,49,Ameerpet,394,7621.206483
10-02-2022,19/224,L.B. Nagar,VV Nagar,5,One Way,24,10,45.97,26,Ameerpet,410,9942.45
10-02-2022,283D,Jagadgirigutta,Nampally,6,Round Trip,10,5,19.32,20,Ameerpet,119,11701.82
10-02-2022,219,KPHB,Suraram,11,One Way,7,30,22.55,104,Ameerpet,227,7279.66
10-02-2022,218/19M,Boduppal,Afzalgunj,18,One Way,30,30,18.35,85,Ameerpet,254,7756.62
10-02-2022,19K,Suraram,ESI,20,Round Trip,7,5,5.31,81,Ameerpet,284,12354.96
11-02-2022,127HJ,Hayathnagar Depot,Image Garden Bus Stop,4,Round-trip,8,30,37.98,82,Hitech City,339,1797.08
11-02-2022,225L,Suraram,Bowrampet,10,Round Trip,25,5,9.31,26,Ameerpet,265,12645.05
12-02-2022,9X,Mehdipatnam,Nampally,6,Round Trip,22,10,10.75,49,Ameerpet,484,8447.13
13-02-2022,201G,Mehdipatnam,Madannapet,13,Round Trip,15,38,33.21,41,Koti,233,932.82
13-02-2022,127KV,HCU Bus Depot,JNTU,2,One-way,17,57,21.49,68,Hitech City,499,2211.66
13-02-2022,189M/A,Boduppal,Lingampally,17,One Way,8,5,15.94,84,Ameerpet,303,3203.79
13-02-2022,225S,Jagadgirigutta,Hayathnagar,11,One Way,19,20,33.77,26,Ameerpet,396,5823.29
13-02-2022,9K/283K,L.B. Nagar,Shamshiguda,9,One Way,15,10,19.71,107,Ameerpet,122,14821.91
14-02-2022,9X,Jagadgirigutta,Ameerpet,19,One Way,13,30,18.88,88,Ameerpet,149,4959.59
14-02-2022,9X/171M,Suraram,L.B. Nagar Ring Road,12,One Way,17,30,10.4,108,Ameerpet,376,13416.95
14-02-2022,225A,Charminar,Kachiguda,19,Round Trip,14,10,33.89,75,Ameerpet,334,11838.55518
14-02-2022,185S,Chandrayan Gutta X Road,Afzalgunj,12,Round Trip,19,30,10.94,47,Ameerpet,461,6085.75
14-02-2022,83J/230,BHEL,Kachiguda,6,One Way,25,30,45.63,57,Ameerpet,103,10521.75
14-02-2022,185,Jagadgirigutta,Afzalgunj,8,Round Trip,17,5,9.51,116,Ameerpet,366,2314.26
14-02-2022,9K/283K,Borabanda,Shamshiguda,8,Round Trip,20,20,34.97,30,Ameerpet,276,3665.13
15-02-2022,205B,Koti Osmania Hospital,Sanghi Nagar,16,One Way,30,54,22.25,59,Koti,477,1432.32
15-02-2022,19/224,Allwyn Colony,Nampally,10,Round Trip,17,30,32.89,92,Ameerpet,429,2442.59
15-02-2022,9X/283D,Jagadgirigutta,VV Nagar,14,One Way,30,10,18.44,11,Ameerpet,464,8079.48
16-02-2022,40T,Hayathnagar,Vanasthalipuram(Saheb Nagar),2,One Way,8,30,55.45,36,Koti,224,1600.28
16-02-2022,205B,Madhapur Petrol Pump,Abdullapurmet,2,One Way,6,40,82.96,34,Koti,156,3732.8
16-02-2022,299P,Nagole Ring Road,Ramoji Film City,17,One Way,27,17,73.59,80,Koti,326,2215.68
16-02-2022,227W,High Court Colony Deer Park,Saroor Nagar Bus Terminal,1,One Way,31,55,83.09,,Koti,482,2516.9
16-02-2022,218/19M,KPHB,Kondapur Bus Station,9,Round Trip,18,10,14.27,61,Ameerpet,173,4749.42
16-02-2022,9K/283K,Borabanda,Balanagar X Road,20,One Way,21,5,11.07,110,Ameerpet,160,5830.39
16-02-2022,41,Suraram,Ameerpet,13,One Way,24,10,40.33,15,Ameerpet,262,4236.6
16-02-2022,9M,Jagadgirigutta,Lingampally,15,Round Trip,26,5,21.8,113,Ameerpet,258,9127.77
16-02-2022,218/19M,Kukatpally,Patancheru Bus Station,7,Round Trip,25,10,15.89,53,Ameerpet,474,11623.87
16-02-2022,287N,Mehdipatnam,Gajula Ramaram,17,Round Trip,9,30,36.88,112,Ameerpet,341,6897.35
16-02-2022,9 YF,MGBS,Suraram,13,One Way,22,10,31.17,29,Ameerpet,306,8298.94
16-02-2022,10H/25S,Suraram,Afzalgunj,15,One Way,28,20,42.77,89,Ameerpet,325,6439.7
16-02-2022,225L/299,KPHB,ESI,12,One Way,28,5,10.67,119,Ameerpet,119,6053.3
16-02-2022,283D,MGBS,Suraram,6,Round Trip,11,20,10.56,21,Ameerpet,206,4774.81
17-02-2022,299P,Koti Osmania Hospital,Vanasthalipuram(Saheb Nagar),8,One Way,26,,47.04,50,Koti,114,4633.31
17-02-2022,90 D,Jeedimetla,Secunderabad Bus Station,19,Round Trip,10,5,10.81,74,Ameerpet,136,9319.01
17-02-2022,9K/283K,Central Bus Station,Patancheru Bus Station,10,One Way,22,5,47.53,54,Ameerpet,301,5498.9
17-02-2022,9X/283D,NGO Colony,Kondapur Bus Station,10,One Way,10,10,26.44,82,Ameerpet,399,13586.06
17-02-2022,19F/A,Gandimaisamma X Road,Afzalgunj,17,Round Trip,20,15,15.39,68,Ameerpet,420,11656.01
17-02-2022,90 U,Jeedimetla,Gandimaisamma,16,One Way,27,15,45.62,111,Ameerpet,358,4888.56
18-02-2022,127K/S,Chengicherla,Image Garden Bus Stop,5,Round-trip,15,49,20.57,106,Hitech City,392,2301.18
18-02-2022,225A,Uppal X Road,Gajula Ramaram,8,One Way,8,15,47.99,30,Ameerpet,452,12617.7
18-02-2022,183AJ,Koti,Bachupally,13,Round Trip,23,5,24.26,27,Ameerpet,278,2839.96
18-02-2022,225S,Charminar,Lingampally,6,Round Trip,11,30,41.72,45,Ameerpet,170,8865.5
18-02-2022,90 U,L.B. Nagar,Bowrampet,5,Round Trip,9,15,6.6,116,Ameerpet,100,9878.6
18-02-2022,189M/A,Boduppal,Bachupally,6,One Way,6,5,27.54,68,Ameerpet,209,6930.09
19-02-2022,206,Suchitra X Road,Kavadi Pally,19,One Way,42,30,74.96,120,Koti,173,1930.08
19-02-2022,298,Secunderabad (Medchal),Kavadi Pally,11,Round Trip,33,13,79.05,110,Koti,269,1835.86
19-02-2022,289M,Chengicherla,Hayathnagar,11,One Way,14,5,7.38,41,Ameerpet,225,3586.95
19-02-2022,189M/92A,Uppal X Road,Hayathnagar,9,One Way,23,10,42.79,88,Ameerpet,262,11379.88
19-02-2022,90 D,Borabanda,Hayathnagar,8,Round Trip,28,5,25.13,20,Ameerpet,216,5463.66
19-02-2022,19Y/F,Chengicherla,L.B. Nagar Ring Road,5,Round Trip,13,30,39.02,66,Ameerpet,328,9983.34
19-02-2022,218C,Dilsukhnagar,Kondapur Bus Station,16,Round Trip,30,10,24.53,18,Ameerpet,247,6826.56
19-02-2022,230N,L.B. Nagar,Kondapur Bus Station,12,Round Trip,24,10,35.61,34,Ameerpet,129,13083.53
19-02-2022,19Y/F,L.B. Nagar,Shamshiguda,20,Round Trip,19,5,34.74,105,Ameerpet,354,8295.08
20-02-2022,,HCU Bus Depot,Bachupally X Road,5,Round-trip,17,50,46.37,29,Hitech City,126,1000.05
